id,eng_Latn,hin_Deva,kan_Knda,tam_Taml
11,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","जबकि एक प्रायोगिक वैक्सीन इबोला से मृत्यु दर में कमी हो सकती है, अब तक, कोई भी ड्रग्स स्पष्ट रूप से संक्रमण का इलाज करने के लिए प्रमाणितनहीं हुआ है.","ಒಂದು ಪ್ರಾಯೋಗಿಕ ಲಸಿಕೆಯು ಎಬೋಲಾ ಮರಣ ಪ್ರಮಾಣವನ್ನು ಕಡಿಮೆ ಮಾಡಬಲ್ಲದು ಎಂಬಂತೆ ಕಂಡರೂ, ಈವರೆಗೂ ಯಾವುದೇ ಔಷಧಗಳೂ ಪ್ರಸ್ತುತ ಸೋಂಕಿಗೆ ಚಿಕಿತ್ಸೆ ನೀಡಲು ಸೂಕ್ತ ಎಂದು ಸ್ಪಷ್ಟವಾಗಿ ಪ್ರದರ್ಶಿಸಿಲ್ಲ.","எபோலாவினால் ஏற்படும் உயிரிழப்புகளைக் குறைக்கும் என நம்பப்படும் ஒரே ஒரு சோதனை தடுப்பூசியைத் தவிர, வேறு எந்த மருந்தும் தற்போதுள்ள தொற்றிற்கு ஏற்ப சிகிச்சை அளிப்பவையாக செயல்படவில்லை."
12,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","एक एंटीबॉडी कॉकटेल, ZMapp, ने शुरुआत में इस क्षेत्र में विश्वास दिखाया था, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि मौत को रोकने में प्रत्याशित लाभ की तुलना में इसका लाभ कम था।","Zmapp ಎಂಬ ಒಂದು ಆಂಟಿಬಾಡಿ ಕಾಕ್ ಟೇಲ್, ಮೊದಲು ಉತ್ತೇಜಕ ಫಲಿತಾಂಶ ತೋರಿದರೂ, ನಂತರದ ಅಧ್ಯಯನಗಳು ಅದು ಸಾವನ್ನು ತಡೆಗಟ್ಟುವಲ್ಲಿ  ಅಂದುಕೊಂಡದ್ದಕ್ಕಿಂತ ಕಡಿಮೆ ಪ್ರಯೋಜನಕಾರಿ ಎಂದು ತಿಳಿದು ಬಂತು.","எதிர்ப்புசக்திக் கொண்ட சிற்றுண்டி, ZMapp, ஆரம்பத்தில் இந்தத் துறையில் நம்பிக்கைக் கொடுத்தது, ஆனால் முறைப்படி செய்யப்பட்ட ஆய்வுகள் இது மரணத்தை தடுப்பதற்கான வழிகளுக்குப் பதிலாக குறைவான நன்மையே தருகிறது என்பதைக் காட்டின."
13,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","PALM परीक्षण में, ZMapp ने एक नियंत्रण के रूप में कार्य किया, जिसका अर्थ है कि वैज्ञानिकों ने इसे बेसलाइन के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की.","ಪಾಮ್‌ ಟ್ರಯಲ್‌ನಲ್ಲಿ, ಝೆಡ್‌ಮ್ಯಾಪ್‌ ನಿಯಂತ್ರಣವಾಗಿ ಕೆಲಸ ಮಾಡಿತು, ಅಂದರೆ ವಿಜ್ಞಾನಿಗಳು ಇದನ್ನು ಬೇಸ್‌ಲೈನ್‌ ಆಗಿ ಬಳಸಿದರು ಮತ್ತು ಮೂರು ಇತರ ಚಿಕಿತ್ಸೆಗಳನ್ನು ಇದಕ್ಕೆ ಹೋಲಿಸಿದರು.","PALM சோதனையில், ZMapp ஒரு கட்டுப்பாடாகச் செயல்பட்டது, அதாவது விஞ்ஞானிகள் இதை ஒரு அடிப்படையாகப் பயன்படுத்தினர் மற்றும் அதனுடன் மற்ற மூன்று சிகிச்சையையும் ஒப்பிட்டனர்."
14,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"अमेरिकी जिमनास्टिक्स, संयुक्त राज्य ओलंपिक समिति के पत्र का समर्थन करता है. साथ ही, सभी एथलीटों को एक सुरक्षित माहौल देने के लिए, ओलंपिक परिवार के होने की अहमियत स्वीकार करता है.",ಯುಎಸ್ಎ ಅoಗಸಾಧನೆ ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ಒಲಿಂಪಿಕ್ ಸಮಿತಿಯ ಪತ್ರವನ್ನು ಬೆಂಬಲಿಸುತ್ತದೆ ಮತ್ತು ನಮ್ಮ ಎಲ್ಲ ಕ್ರೀಡಾಪಟುಗಳಿಗೆ ಸುರಕ್ಷಿತ ವಾತಾವರಣವನ್ನು ಉತ್ತೇಜಿಸಲು ಒಲಿಂಪಿಕ್ ಕುಟುಂಬದ ಸಂಪೂರ್ಣ ಅಗತ್ಯವನ್ನು ಸ್ವೀಕರಿಸುತ್ತದೆ.,"USA ஜிம்னாஸ்டிக்ஸ், யுனைடெட் ஸ்டேட்ஸ் ஒலிம்பிக் கமிட்டியின் கடிதத்தை ஆதரிக்கிறது மற்றும்  விளையாட்டு வீரர்கள் அனைவருக்கும் பாதுகாப்பான சூழலை ஊக்குவிக்க ஒலிம்பிக் குடும்பத்தின் முழுமையான தேவையை ஏற்றுக்கொள்கிறது."
15,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","हम USOC के इस कथन से सहमत हैं कि हमारे एथलीटों और क्लबों और उनके खेल, हमारे संगठन के भीतर सार्थक बदलाव के साथ आगे बढ़ कर बेहतर सेवा की जा सकती है ना की विप्रमाणन से |",ನಮ್ಮ ಕ್ರೀಡಾಪಟುಗಳು ಮತ್ತು ಕ್ಲಬ್‌ಗಳ ಹಿತಾಸಕ್ತಿಗಳು ಮತ್ತು ಅವರ ಕ್ರೀಡೆಯು ನಿರ್ಣಾಯಕೀಕರಣದ ಬದಲು ನಮ್ಮ ಸಂಸ್ಥೆಯ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಅರ್ಥಪೂರ್ಣ ಬದಲಾವಣೆಗಳನ್ನು ಮಾಡಿ ಮುಂದುವರಿಯುವ ಮೂಲಕ ಉತ್ತಮವಾಗಿ ಸೇವೆ ಸಲ್ಲಿಸಬಹುದು ಎಂಬ USOC ಹೇಳಿಕೆಯನ್ನು ನಾವು ಒಪ್ಪುತ್ತೇವೆ.,"எங்களுடைய  விளையாட்டு வீரர்கள் மற்றும் கிளப்புகளின் நலன்கள், மற்றும் அவர்களின் விளையாட்டு ஆகியவை தீர்மானிப்பதை விட, எங்கள் நிறுவனத்திற்குள் அர்த்தமுள்ள மாற்றத்துடன் முன்னேறுவதன் மூலம் சிறப்பாக சேவை செய்யப்படலாம், என்ற  USOC's  அறிக்கையுடன் நாங்கள் உடன்படுகிறோம்."
16,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,यूएसए जिमनास्टिक्स एक स्वतंत्र जाँच का समर्थन करता है जो इस बात पर प्रकाश डाल सकता है कि लैरी नासर के बचे लोगों द्वारा इतनी हिम्मत से बताए गए प्रपोर्शन का दुरुपयोग इतने लंबे समय तक चल सकता था और किसी भी आवश्यक और उचित परिवर्तन को अपना सकता है.,ಇಲ್ಲಿಯವರೆಗೆ ಇಷ್ಟೊಂದು ಅಪರಾಧವೆಸಗಿದ ಲ್ಯಾರಿ ನಾಸರ್ನ್ ಪತ್ತೆಯಾಗದೇ ಧೈರ್ಯದಿಂದ ಹೇಗುಳಿದರು ಮತ್ತು ಅದನ್ನು ಸರಿಪಡಿಸಲು ಸೂಕ್ತವಾದ ಬದಲಾವಣೆಗಳು ಯಾವುವು ಎಂಬುದನ್ನು ಕುರಿತು ಬೆಳಕು ಚೆಲ್ಲುವ ಸ್ವತಂತ್ರ ತನಿಖೆಯನ್ನು ಯುಎಸ್ಎ ಜಿಮ್ನಾಸ್ಟಿಕ್ಸ್ ಬೆಂಬಲಿಸುತ್ತದೆ.,"யுஎஸ்ஏ ஜிம்னாஸ்டிக்ஸ் ஆதரவாளர்கள், லேரி நாஸரினால் பிழைத்தவர்கள், தைரியமாக அந்த கலவை எவ்வளவு பாதிப்பை அளித்தது மற்றும் இவ்வளவு நாட்கள் கண்டுபிடிக்கப்படாமல் இருந்தது என்று விவரிப்பதை தெளிவுபடுத்த முயலும் தன்னிச்சை ஆய்விற்கு ஆதரவு அளிக்கும் மற்றும் தேவையான மற்றும் தகுந்த மாற்றத்தை ஒட்டி நடக்கும் என்கின்றனர்."
17,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.","यूएसए जिमनास्टिक्स और यूएसओसी का एक ही लक्ष्य है — एथलीटों को सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का अनुसरण करने के लिए जिमनास्टिक्स और अन्य लोगों के खेल को जितना संभव हो सके उतना सुरक्षित बनाना.","USA ಜಿಮ್ನಾಸ್ಟಿಕ್ಸ್ ಮತ್ತು USOC ಎರಡೂ ಒಂದೇ ಗುರಿ ಹೊಂದಿವೆ - ಜಿಮ್ನಾಸ್ಟಿಕ್ಸ್ ಮತ್ತು ಇತರೇ ಆಟಗಳನ್ನು ಸಾಧ್ಯವಾದಷ್ಟು ಮಟ್ಟಿಗೆ ಸುರಕ್ಷಿತಗೊಳಿಸಿ, ಅಥ್ಲೀಟ್‌ಗಳು ತಮ್ಮ ಕನಸನ್ನು ನನಸು ಮಾಡುವಲ್ಲಿ ಒಂದು ಸುರಕ್ಷಿತ, ಸಕಾರಾತ್ಮಕ ಮತ್ತು ಸಶಕ್ತ ಪರಿಸರ ನಿರ್ಮಾಣ ಮಾಡುವುದು.","அமெரிக்க ஜிம்னாஸ்டிக்ஸ் மற்றும் USOC ஆகிய இரண்டும்  பாதுகாப்பான, நேர்மறையான மற்றும் அதிகாரம் பெற்ற சூழலில் விளையாட்டு வீரர்கள் தங்கள் லட்சியங்களைத் தொடர ஜிம்னாஸ்டிக்ஸ் விளையாட்டையும், மற்ற விளையாட்டுகளையும், முடிந்தவரை பாதுகாப்பானதாக மாற்றுவதற்கான ஒரே நோக்கத்தைக் கொண்டுள்ளன."
18,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","1960 के दशक के दौरान, ब्रेझिन्स्की ने जॉन एफ कैनेडी के सलाहकार के तौर पर और उसके बाद लिंडन बी जॉनसन के प्रशासन के लिए काम किया.","1960ರ ಉದ್ದಕ್ಕೂ ಬ್ರೆಜೆನ್ಸ್ಕಿ, ಜಾನ್ ಎಫ್ ಕೆನಡಿಯ ಸಲಹೆಕಾರನಾಗಿ ಕೆಲಸ ಮಾಡಿದರು  ಮತ್ತು ಅನಂತರ ಲಿಂಡನ್ ಬಿ ಜಾನ್ಸನ್ ಆಡಳಿತದಲ್ಲಿ ಕೆಲಸ ಮಾಡಿದರು .",1960 முழுவதும் ஜான் எஃப்.கென்னடியிடம் ஆலோசகராகவும் பிறகு லிண்டன் பி. ஜான்சன் நிர்வாகத்திலும் ப்ஜெஜின்ஸ்கி பணிபுரிந்தார்.
19,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","1976 चयन के दौरान उन्होंने विदेश नीति पर कार्टर को सलाह दी, फिर 1977 से लेकर 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में हेनरी किसिंजर को सेवा दी.","1976 ರ ಆಯ್ಕೆಯಲ್ಲಿ, ಅವರು ಕಾರ್ಟರ್‌ಗೆ ವಿದೇಶಾಂಗ ನೀತಿಯ ಬಗ್ಗೆ ಸಲಹೆ ನೀಡಿದರು ಮತ್ತು ನಂತರ 1977 ರಿಂದ 1981 ರವರೆಗೆ ಹೆನ್ರಿ ಕಿಸ್ಸಿಂಜರ್ ಅವರ ರಾಷ್ಟ್ರೀಯ ಭದ್ರತಾ ಸಲಹೆಗಾರರಾಗಿ (ಎನ್‌ಎಸ್‌ಎ) ಸೇವೆ ಸಲ್ಲಿಸಿದರು.","1976 தேர்வுகளின் போது அவர் கார்டருக்கு வெளியுறவுக் கொள்கை குறித்து ஆலோசனை வழங்கினார், பின்னர்  ஹென்றி கிஸ்ஸிங்கருக்குப் பின் 1977 முதல் 1981 வரை தேசிய பாதுகாப்பு ஆலோசகராக (NSA) பணியாற்றினார்."
20,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","एनएसए के रूप में, उन्होंने कूटनीतिक रूप से विश्व मामलों को संभालने में कार्टर की सहायता की, जैसे कि कैंप डेविड एकॉर्ड्स, 1978; 1970 के दशक के अंत में अमेरिका-चीन संबंधों को सामान्य बनाना; ईरानी क्रांति, जो ईरान बंधक संकट का कारण बनी, 1979; और अफ़गानिस्तान में सोवियत आक्रमण, 1979.","NSA ಆಗಿ, ಕ್ಯಾಂಪ್ ಡೇವಿಡ್ ಅಕಾರ್ಡ್ಸ್ ಅವರು 1978 ರ ದಶಕದಲ್ಲಿ ವಿಶ್ವ ವ್ಯವಹಾರಗಳನ್ನು ರಾಜತಾಂತ್ರಿಕವಾಗಿ ನಿರ್ವಹಿಸುವುದು; 1970 ರ ದಶಕದಲ್ಲಿ ಯುಎಸ್-ಚೀನಾ ಸಂಬಂಧಗಳನ್ನು ಸಹಜ ರೂಪಕ್ಕೆ ತರುವುದು; 1979 ರಲ್ಲಿ, ಇರಾನ್ ಒತ್ತೆಯಾಳು ಬಿಕ್ಕಟ್ಟಿಗೆ ಕಾರಣವಾದ ಇರಾನಿಯನ್ ಕ್ರಾಂತಿಯನ್ನು ಹತ್ತಿಕ್ಕುವುದು; ಮತ್ತು 1979 ರಲ್ಲಿ ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ಸೋವಿಯತ್ ಆಕ್ರಮಣದ ಕುರಿತು ಪರಾಮರ್ಶೆ ನಡೆಸುವ ಕುರಿತಾದ ಸಂಗತಿಗಳನ್ನು ನಿರ್ವಹಿಸಲು ಕಾರ್ಟರ್‌ಗೆ ಸಹಾಯ ಮಾಡಿದರು.","என்எஸ்ஏயாக அவர், 1978ஆம் ஆண்டு கேம்ப் டேவிட் உடன்படிக்கை; 1970ஆம் ஆண்டில் யுஎஸ்- சைனா இடையேயான உறவை சீர்படுத்தல், 1979ஆம் ஆண்டு இரான் பிணைக்கைதி நெருக்கடிக்கு வழிவகுத்த இரான் போராட்டம்; 1979இல் ஆஃப்கானிஸ்தானில் சோவியத்தின் முற்றுகை போன்ற உலக விவகாரங்களை அரசியல் திறனுடன் கையாள்வதில் கார்டருக்கு உதவியாக இருந்தார்."
21,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.","जिस फिल्म में रायन गोज़लिंग और एम्मा स्टोन ने मुख्य भूमिकाएँ निभाई हैं, उसे सभी प्रमुख श्रेणियों में नॉमिनेशन किया गया है.",ರ್ಯಾನ್   ಗೊಸ್ಲಿಂಗ್ ಮತ್ತು ಎಮಾ ಸ್ಟೋನ್ ನಟಿಸಿದ್ದ ಆ ಸಿನೆಮಾ ಎಲ್ಲಾ  ಪ್ರಮುಖ ವರ್ಗಗಳಲ್ಲಿ  ನಾಮಾಂಕಿತಗೊಂಡಿತ್ತು.,"ரியான் கோஸ்லிங் மற்றும் எம்மா ஸ்டோன் நடித்த இந்தத் திரைப்படம், அனைத்து முக்கிய பிரிவுகளிலும் பரிந்துரைகளைப் பெற்றது."
